date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:40:54	139/139	---MCZ	200	added ('OK')	text/plain	etag:W/%22253698-1722308515;br%22	https://1womenshealth.com/robots.txt		(from )
23:40:55	172224/172224	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:40:54%20GMT	https://1womenshealth.com/	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/index.html	(from )
23:40:55	4967/4967	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2003%20Aug%202024%2003:40:55%20GMT	https://1womenshealth.com/xmlrpc.php	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/xmlrpc.php	(from https://1womenshealth.com/)
23:40:56	8880/8880	---M--	200	added ('OK')	image/jpeg	etag:%2222b0-65837751-f18bfc5588452edc;;;%22	https://1womenshealth.com/wp-content/uploads/2023/12/1-Womans-Magazine-300x300.jpg	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/wp-content/uploads/2023/12/1-Womans-Magazine-300x300.jpg	(from https://1womenshealth.com/)
23:40:58	2075/2075	---MCZ	200	added ('OK')	text/css	etag:W/%22b96-63f1b394-d9da67d1a7662044;br%22	https://1womenshealth.com/wp-content/plugins/td-api-plugin/css/style.css?ver=6.6.1	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/wp-content/plugins/td-api-plugin/css/styleb6a4.css	(from https://1womenshealth.com/)
23:40:58	5454/5454	---MCZ	200	added ('OK')	text/css	etag:W/%221558-667dd13a-2a5bc893df5fc42e;br%22	https://1womenshealth.com/wp-content/plugins/td-newsletter/style.css?ver=5.4.3	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/wp-content/plugins/td-newsletter/style00d1.css	(from https://1womenshealth.com/)
23:40:59	77090/77090	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222e322eb8855c553685ec41cde434a04d%22	https://1womenshealth.com/feed/	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/feed/index.html	(from https://1womenshealth.com/)
23:41:00	16960/16960	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:40:59%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic-ext/400/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic-ext/400/normal.html	(from https://1womenshealth.com/)
23:41:00	20824/20824	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:00%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin/400/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin/400/normal.html	(from https://1womenshealth.com/)
23:41:01	13688/13688	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:01%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin-ext/400/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin-ext/400/normal.html	(from https://1womenshealth.com/)
23:41:02	7984/7984	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:02%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/vietnamese/400/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/vietnamese/400/normal.html	(from https://1womenshealth.com/)
23:41:03	11764/11764	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:03%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic/400/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic/400/normal.html	(from https://1womenshealth.com/)
23:41:04	3656/3656	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:04%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek-ext/400/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek-ext/400/normal.html	(from https://1womenshealth.com/)
23:41:05	9584/9584	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:05%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek/400/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek/400/normal.html	(from https://1womenshealth.com/)
23:41:06	9736/9736	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:06%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek/500/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek/500/normal.html	(from https://1womenshealth.com/)
23:41:07	21132/21132	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:07%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin/500/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin/500/normal.html	(from https://1womenshealth.com/)
23:41:08	3664/3664	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:08%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek-ext/500/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek-ext/500/normal.html	(from https://1womenshealth.com/)
23:41:09	13892/13892	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:09%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin-ext/500/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin-ext/500/normal.html	(from https://1womenshealth.com/)
23:41:10	8052/8052	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:10%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/vietnamese/500/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/vietnamese/500/normal.html	(from https://1womenshealth.com/)
23:41:11	12076/12076	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:11%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic/500/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic/500/normal.html	(from https://1womenshealth.com/)
23:41:12	17376/17376	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:12%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic-ext/500/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic-ext/500/normal.html	(from https://1womenshealth.com/)
23:41:13	21140/21140	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:13%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin/700/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/latin/700/normal.html	(from https://1womenshealth.com/)
23:41:14	3652/3652	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:14%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek-ext/700/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/greek-ext/700/normal.html	(from https://1womenshealth.com/)
23:41:15	17452/17452	---M--	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2003:41:15%20GMT	https://1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic-ext/700/normal.woff2	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/1womenshealth_com/1womenshealth.com/cf-fonts/s/roboto-condensed/5.0.14/cyrillic-ext/700/normal.html	(from https://1womenshealth.com/)
